message_id,image_path,detected_object_class,confidence_score
18176,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18176.jpg,parking meter,0.41895073652267456
18179,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18179.jpg,stop sign,0.3494736850261688
18182,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18182.jpg,cup,0.5092424750328064
18182,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18182.jpg,book,0.3636929392814636
18182,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18182.jpg,spoon,0.36313408613204956
18182,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18182.jpg,bowl,0.3002767562866211
18182,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18182.jpg,person,0.2612375319004059
18182,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18182.jpg,spoon,0.2578367590904236
18183,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18183.jpg,scissors,0.33765044808387756
18183,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18183.jpg,remote,0.31677380204200745
18185,data/raw/telegram_images\2025-06-19\lobelia4cosmetics\18185.jpg,book,0.5679144859313965
170847,data/raw/telegram_images\2025-06-19\tikvahpharma\170847.jpg,cell phone,0.5368477702140808
170848,data/raw/telegram_images\2025-06-19\tikvahpharma\170848.jpg,tv,0.828683078289032
170857,data/raw/telegram_images\2025-06-19\tikvahpharma\170857.jpg,cell phone,0.38234034180641174
170857,data/raw/telegram_images\2025-06-19\tikvahpharma\170857.jpg,mouse,0.37481892108917236
170857,data/raw/telegram_images\2025-06-19\tikvahpharma\170857.jpg,remote,0.296037882566452
18191,data/raw/telegram_images\2025-06-20\lobelia4cosmetics\18191.jpg,bottle,0.4572093188762665
18193,data/raw/telegram_images\2025-06-20\lobelia4cosmetics\18193.jpg,orange,0.4311252236366272
18193,data/raw/telegram_images\2025-06-20\lobelia4cosmetics\18193.jpg,book,0.4252507984638214
18194,data/raw/telegram_images\2025-06-20\lobelia4cosmetics\18194.jpg,bottle,0.6564269065856934
18196,data/raw/telegram_images\2025-06-20\lobelia4cosmetics\18196.jpg,bottle,0.6318315267562866
18197,data/raw/telegram_images\2025-06-20\lobelia4cosmetics\18197.jpg,bottle,0.4751107096672058
18199,data/raw/telegram_images\2025-06-20\lobelia4cosmetics\18199.jpg,bottle,0.8049420118331909
18201,data/raw/telegram_images\2025-06-20\lobelia4cosmetics\18201.jpg,bottle,0.49740052223205566
18206,data/raw/telegram_images\2025-06-20\lobelia4cosmetics\18206.jpg,vase,0.9256118535995483
18207,data/raw/telegram_images\2025-06-20\lobelia4cosmetics\18207.jpg,vase,0.7198749780654907
18207,data/raw/telegram_images\2025-06-20\lobelia4cosmetics\18207.jpg,refrigerator,0.31529372930526733
18208,data/raw/telegram_images\2025-06-20\lobelia4cosmetics\18208.jpg,bottle,0.7747960090637207
18211,data/raw/telegram_images\2025-06-20\lobelia4cosmetics\18211.jpg,bottle,0.6214755177497864
170967,data/raw/telegram_images\2025-06-20\tikvahpharma\170967.jpg,chair,0.36936452984809875
170967,data/raw/telegram_images\2025-06-20\tikvahpharma\170967.jpg,chair,0.3544020354747772
170967,data/raw/telegram_images\2025-06-20\tikvahpharma\170967.jpg,oven,0.34576016664505005
170967,data/raw/telegram_images\2025-06-20\tikvahpharma\170967.jpg,skateboard,0.30814650654792786
170977,data/raw/telegram_images\2025-06-20\tikvahpharma\170977.jpg,bottle,0.5664935111999512
170977,data/raw/telegram_images\2025-06-20\tikvahpharma\170977.jpg,bottle,0.4417750835418701
170977,data/raw/telegram_images\2025-06-20\tikvahpharma\170977.jpg,cup,0.29263755679130554
171010,data/raw/telegram_images\2025-06-21\tikvahpharma\171010.jpg,parking meter,0.3097923696041107
171010,data/raw/telegram_images\2025-06-21\tikvahpharma\171010.jpg,cell phone,0.2856288552284241
171011,data/raw/telegram_images\2025-06-21\tikvahpharma\171011.jpg,microwave,0.6965676546096802
171011,data/raw/telegram_images\2025-06-21\tikvahpharma\171011.jpg,cell phone,0.5153824090957642
171011,data/raw/telegram_images\2025-06-21\tikvahpharma\171011.jpg,tv,0.399267315864563
171049,data/raw/telegram_images\2025-06-21\tikvahpharma\171049.jpg,person,0.8428245186805725
171049,data/raw/telegram_images\2025-06-21\tikvahpharma\171049.jpg,person,0.8080554604530334
171049,data/raw/telegram_images\2025-06-21\tikvahpharma\171049.jpg,person,0.8000403046607971
171049,data/raw/telegram_images\2025-06-21\tikvahpharma\171049.jpg,person,0.7597501277923584
171049,data/raw/telegram_images\2025-06-21\tikvahpharma\171049.jpg,person,0.7031312584877014
171049,data/raw/telegram_images\2025-06-21\tikvahpharma\171049.jpg,person,0.6862117052078247
171049,data/raw/telegram_images\2025-06-21\tikvahpharma\171049.jpg,person,0.6840943694114685
171049,data/raw/telegram_images\2025-06-21\tikvahpharma\171049.jpg,person,0.6752966046333313
171049,data/raw/telegram_images\2025-06-21\tikvahpharma\171049.jpg,tv,0.6095934510231018
171049,data/raw/telegram_images\2025-06-21\tikvahpharma\171049.jpg,person,0.529999315738678
171049,data/raw/telegram_images\2025-06-21\tikvahpharma\171049.jpg,person,0.4829259514808655
171049,data/raw/telegram_images\2025-06-21\tikvahpharma\171049.jpg,person,0.4330318570137024
171049,data/raw/telegram_images\2025-06-21\tikvahpharma\171049.jpg,person,0.39610496163368225
